R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,Seth Curry ,"PG,SG",PHI,8,30.1,0.603(5.9/9.8),1.000(2.1/2.1),3.1,17,2.3,3.6,0.8,0.4,1.5,5.23
38,Collin Sexton ,"PG,SG",CLE,8,37.3,0.530(9.8/18.4),0.829(3.6/4.4),2,25.1,2.1,3.5,1.4,0.3,2.1,5.16
39,Kyle Lowry,PG,TOR,11,36.4,0.425(5.9/13.9),0.879(3.9/4.5),3,18.7,6,7.1,1.1,0.1,3.2,5.11
40,Richaun Holmes,"PF,C",SAC,13,30,0.687(5.9/8.6),0.846(2.1/2.5),0.1,14,7.5,1.9,0.9,1.4,1.2,5.1
41,Fred VanVleet,"PG,SG",TOR,12,35.9,0.421(7.3/17.4),0.843(1.8/2.2),3.6,20.1,4.4,6.3,1.1,0.6,1.8,4.95
42,Shai Gilgeous-Alexander,"SG,SF",OKL,12,33.9,0.509(7.7/15.1),0.780(4.4/5.7),1.8,21.6,5.4,6.2,0.9,0.4,2.6,4.79
43,Ja Morant,PG,MEM,4,28.2,0.536(9.3/17.3),0.826(4.8/5.8),0.8,24,1.8,6.3,0.8,0.5,2.5,4.42
44,John Wall ,PG,HOU,7,33.9,0.458(7.0/15.3),0.846(3.1/3.7),1.4,18.6,4.7,5.1,1.3,1,3.4,4.23
45,Terry Rozier,PG,CHA,14,33.2,0.478(7.1/14.8),0.774(2.4/3.1),3.4,19.9,4.1,2.7,1.4,0.5,1.9,4.22
46,Giannis Antetokounmpo,"PF,C",MIL,12,31.2,0.535(9.7/18.1),0.575(5.8/10.0),1.5,26.6,10,5.2,1.2,1.2,3.7,3.77
47,Trae Young,PG,ATL,12,32.8,0.387(6.7/17.3),0.884(8.3/9.4),1.5,23.2,4.2,8.6,0.5,0.2,4.1,3.66
48,Andre Drummond,C,CLE,12,32.4,0.472(7.8/16.6),0.558(3.6/6.4),0,19.3,15.8,2.9,1.7,1.6,3.8,3.66
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49,Mikal Bridges,"SG,SF",PHX,11,32.9,0.504(5.2/10.3),0.886(2.1/2.4),2.6,15.1,5.4,1.3,0.5,1.2,0.3,3.66
50,Devin Booker,"SG,SF",PHX,11,35.4,0.486(8.1/16.6),0.813(4.7/5.8),2.1,23,3.3,4.3,1.1,0.4,4,3.57
51,Larry Nance Jr.,"PF,C",CLE,13,35.7,0.496(4.1/8.2),0.561(0.7/1.2),1.6,10.5,6.1,3.8,2.4,0.5,2,3.53
52,Darius Garland ,PG,CLE,6,36.3,0.455(6.7/14.7),0.887(1.3/1.5),2.5,17.2,3.3,6.3,1.3,0.3,3,3.46
53,Ben Simmons,PG,PHI,12,33.1,0.499(4.6/9.2),0.632(3.0/4.8),0.1,12.3,9.3,8,1.5,1,4.2,3.35
54,Jarrett Allen,C,CLE,12,26.7,0.677(3.7/5.4),0.754(3.8/5.1),0,11.2,10.4,1.7,0.6,1.6,1.8,3.34
55,Lauri Markkanen,"PF,C",CHI,6,29,0.481(6.2/12.8),0.828(4.0/4.8),2.7,19,7.2,1.3,0.7,0.5,1.8,3.34
56,Victor Oladipo,"SG,SF",HOU,9,33.3,0.421(7.1/16.9),0.730(3.0/4.1),2.8,20,5.7,4.2,1.8,0.2,2,3.2
57,Mitchell Robinson,C,NYK,14,29.9,0.659(4.0/6.1),0.471(0.6/1.4),0,8.6,8.1,0.5,1.5,1.9,0.8,3.08
58,Jordan Clarkson,"PG,SG",UTA,13,25,0.500(6.7/13.4),0.935(1.2/1.2),3,17.5,4.6,1.8,1,0.3,2,2.95
59,Chris Paul,PG,PHX,11,31.8,0.435(4.8/11.1),0.970(2.9/3.0),0.7,13.3,4.6,8.7,0.7,0.3,1.6,2.91
60,Pascal Siakam,"PF,C",TOR,11,35.8,0.444(7.2/16.2),0.745(3.2/4.3),1.4,18.9,8.3,4.9,0.9,0.7,2.5,2.87
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61,Donovan Mitchell,"PG,SG",UTA,13,33.6,0.419(8.3/19.9),0.808(3.2/4.0),3.3,23.2,3.5,5,0.8,0.5,3.1,2.78
62,Mike Conley,PG,UTA,13,30.3,0.455(5.9/13.0),0.693(2.1/3.0),2.9,16.8,4.2,6,1.3,0.1,2.2,2.75
63,Russell Westbrook ,PG,WAS,7,37.2,0.378(7.3/19.3),0.658(3.3/5.0),1.4,19.3,9.7,11.3,1.3,0.3,5.3,2.68
64,Tyrese Haliburton,"PG,SG",SAC,12,28.2,0.515(4.1/7.9),0.815(0.8/0.9),2.2,11.1,2.8,5.3,1.2,0.5,1.3,2.6
65,Keldon Johnson,SF,SAS,13,32,0.476(5.4/11.3),0.786(2.5/3.2),1.2,14.5,7.2,2.3,1.2,0.8,1.5,2.51
66,Jonas Valanciunas ,C,MEM,12,26.9,0.531(5.6/10.5),0.730(2.9/4.0),0.3,14.4,10.4,1.8,0.8,1.1,2.3,2.51
67,De'Aaron Fox,PG,SAC,14,30.9,0.475(7.4/15.5),0.710(4.4/6.1),1.4,20.5,2.9,5.8,1.5,0.6,3,2.5
68,OG Anunoby,"SF,PF",TOR,12,34.9,0.462(4.5/9.8),0.712(2.1/2.9),2,13.1,5.3,1.7,2.1,0.6,1.7,2.45
69,John Collins,"PF,C",ATL,12,28.1,0.530(6.0/11.3),0.794(2.6/3.3),1.1,15.7,7.3,1.6,0.7,0.8,1.2,2.38
70,Caris LeVert ,"SG,SF",IND,12,28.1,0.435(7.3/16.7),0.767(2.2/2.8),1.8,18.5,4.3,6,1.1,0.5,2.2,2.37
71,Rudy Gobert,C,UTA,13,30.4,0.585(4.8/8.2),0.493(2.6/5.3),0,12.2,13.5,1.4,0.5,2.7,1.8,2.35
72,Dejounte Murray,"PG,SG",SAS,13,32.9,0.443(6.5/14.8),0.786(1.7/2.2),1.1,15.8,7.3,5.2,1.5,0.1,2,2.34
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73,D'Angelo Russell,"PG,SG",MIN,11,31.5,0.436(7.7/17.7),0.690(2.5/3.6),2.8,20.7,3.2,5.5,1.3,0.4,3.5,2.11
74,Shake Milton,"PG,SG",PHI,11,26.8,0.504(5.9/11.7),0.852(3.6/4.3),1.5,16.9,1.8,3.7,1.2,0.3,1.7,2.09
75,LaMelo Ball,"PG,SG",CHA,14,25.3,0.407(4.5/11.1),0.680(1.4/2.0),1.6,12,6.9,6.1,1.5,0.4,2.1,2.09
76,De'Andre Hunter,"SF,PF",ATL,12,31.8,0.492(5.5/11.2),0.867(3.3/3.8),1.8,16,6.3,1.9,0.5,0.5,1,2.08
77,Andrew Wiggins,"SG,SF",GSW,12,32.8,0.434(6.6/15.2),0.737(2.6/3.5),2,17.8,4.8,2.5,0.4,1.8,2,1.89
78,Robert Williams III ,C,BOS,8,16.4,0.773(3.0/3.9),0.852(0.8/0.9),0,6.8,6.5,0.6,1.1,1.5,1.4,1.87
79,Malik Beasley,"PG,SG",MIN,11,32.6,0.458(7.5/16.3),0.880(2.6/3.0),2.6,20.2,4.7,2,0.5,0.3,1.1,1.86
80,Harrison Barnes,"SF,PF",SAC,14,35.2,0.490(5.6/11.4),0.817(3.8/4.6),1.4,16.4,6.4,3.2,0.7,0.2,1.5,1.75
81,P.J. Washington,"SF,PF",CHA,14,29,0.426(4.5/10.6),0.730(2.7/3.7),1.2,12.9,7.1,3,0.9,1.4,2.1,1.62
82,Thomas Bryant ,C,WAS,10,27.2,0.648(5.9/9.1),0.667(1.6/2.4),0.9,14.3,6.1,1.5,0.4,0.8,1.1,1.46
83,Jamal Murray,"PG,SG",DEN,12,35.8,0.454(7.4/16.3),0.755(3.1/4.1),2.4,20.3,3.6,4,0.9,0.2,1.9,1.44
84,Mason Plumlee,"PF,C",DET,12,27,0.522(3.0/5.8),0.756(1.8/2.4),0,7.8,8.8,3.5,1.4,0.6,1.8,1.42
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,Tim Hardaway Jr. ,"SG,SF",DAL,11,31.3,0.465(6.6/14.3),0.643(1.6/2.6),3.8,18.7,4,2.1,0.7,0.3,1.1,1.34
86,Deandre Ayton,C,PHX,11,30.3,0.571(5.5/9.6),0.639(1.5/2.3),0.1,12.5,11.2,1.8,0.3,1,1.7,1.33
87,Nicolas Batum,"SF,PF",LAC,14,28.2,0.485(3.3/6.8),0.872(1.4/1.6),1.9,9.9,5.4,2.7,1.2,0.2,0.6,1.29
88,Zion Williamson,PF,NOP,11,32.4,0.575(9.1/15.8),0.636(4.5/7.0),0,22.6,8.3,1.6,1.1,0.5,2.8,1.28
89,Enes Kanter,C,POR,13,19.5,0.632(4.2/6.7),0.813(1.7/2.1),0,10.2,9.4,0.7,0.6,0.8,0.9,1.27
90,Kelly Olynyk,"PF,C",MIA,10,29.2,0.451(4.1/9.1),0.625(0.5/0.8),2.4,11.1,5.5,2.5,1,0.8,1.7,1.25
91,Duncan Robinson,"SG,SF",MIA,11,32.5,0.455(4.6/10.0),0.835(1.8/2.2),3.6,14.5,4,1.5,0.6,0.4,1.5,1.24
92,Eric Gordon ,"SG,SF",HOU,7,25.6,0.434(4.7/10.9),0.899(2.6/2.9),2.3,14.3,2.1,1.6,1,0.9,1.6,1.17
93,Clint Capela,C,ATL,10,27.5,0.576(5.3/9.2),0.500(1.5/3.0),0,12.1,12.9,1,0.6,1.2,1.2,1.11
94,Kyle Anderson,"SF,PF",MEM,12,29.9,0.418(4.7/11.2),0.800(2.0/2.5),1.4,12.8,7.2,4.3,0.5,0.8,1.8,1.04
95,Bobby Portis,"PF,C",MIL,13,23.6,0.549(4.8/8.7),0.725(1.0/1.4),0.9,11.5,8.2,1.2,0.9,0.5,1.2,1.04
96,Joe Harris,"SG,SF",BRO,14,29.1,0.523(5.6/10.8),0.563(0.4/0.6),3,14.6,3.7,2,0.6,0.3,0.9,1.04
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,Evan Fournier ,"SG,SF",ORL,5,26,0.511(4.6/9.0),0.870(4.0/4.6),1.6,14.8,1.6,2,1.4,0,1.8,0.97
98,Terrence Ross,"SG,SF",ORL,12,27.6,0.442(5.7/12.8),0.917(2.8/3.0),2.1,16.2,2.8,1.6,1.2,0.3,1.7,0.95
99,Steven Adams,C,NOP,12,31.3,0.646(4.3/6.6),0.513(1.6/3.1),0,10.1,9,2.8,1.2,0.8,1.8,0.75
100,Brook Lopez,C,MIL,13,26.7,0.410(3.3/8.1),0.850(0.9/1.0),1.9,9.3,5.3,0.9,0.6,1.6,0.7,0.65
101,Serge Ibaka ,"PF,C",LAC,13,25.1,0.517(4.9/9.4),0.783(1.1/1.4),1,11.8,6.2,1.8,0.2,1.2,1.3,0.57
102,Donte DiVincenzo,"PG,SG",MIL,13,25.2,0.451(3.9/8.5),0.742(0.5/0.6),2.2,10.3,4.1,2.5,1.5,0.2,1.2,0.51
103,Coby White,"PG,SG",CHI,13,35,0.407(5.9/14.5),0.846(2.1/2.5),2.4,16.3,5.3,6.1,0.3,0.1,2.9,0.49
104,Buddy Hield,SG,SAC,14,34.3,0.367(5.1/14.0),0.846(1.2/1.4),3.9,15.4,4.1,3.1,0.7,0.4,1.7,0.46
105,Otto Porter Jr.,"SF,PF",CHI,12,23.7,0.460(4.3/9.4),0.858(2.0/2.3),1.8,12.5,6.7,1.9,0.8,0.1,1.2,0.45
106,Miles Bridges,"SF,PF",CHA,14,26,0.449(3.4/7.6),0.935(1.0/1.1),1.4,9.3,5.2,2,0.7,1.1,1.8,0.44
107,Kentavious Caldwell-Pope ,"PG,SG",LAL,10,23,0.535(3.8/7.1),0.909(1.0/1.1),2.1,10.7,2,1.4,1.2,0.3,0.8,0.36
108,Tyler Herro ,"PG,SG,SF",MIA,10,33.7,0.469(6.7/14.3),0.765(2.6/3.4),1.6,17.6,6.7,3.8,0.4,0.1,2.8,0.34
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,Royce O'Neale,"SF,PF",UTA,13,31.8,0.500(2.5/4.9),0.701(0.5/0.8),1.9,7.3,7.2,2.4,0.8,0.4,1.1,0.33
110,Derrick Rose,"PG,SG",DET,9,23.5,0.429(5.4/12.7),0.817(3.0/3.7),1,14.9,1.9,5.2,1.3,0.3,2.2,0.22
111,Montrezl Harrell,"PF,C",LAL,14,24.3,0.622(5.6/9.1),0.714(2.5/3.5),0,13.8,7.4,0.9,0.6,0.5,1.1,0.22
112,Wendell Carter Jr.,C,CHI,13,27.5,0.530(4.7/8.9),0.716(3.3/4.6),0.3,13,8,2.5,0.6,0.7,1.8,0.2
113,Kristaps Porzingis,"PF,C",DAL,3,27.8,0.389(7.0/18.0),0.752(1.0/1.3),2,17,7.3,0.3,0,2,1.3,0.18
114,Dorian Finney-Smith ,"SF,PF",DAL,8,29.4,0.416(3.4/8.1),0.852(0.8/0.9),1.8,9.3,5,1,1.4,0.6,0.5,0.13
115,Lonzo Ball ,"PG,SG",NOP,9,33.6,0.395(4.8/12.1),0.604(0.7/1.1),2.2,12.4,4.3,4.4,1.1,0.7,2.9,0.12
116,Eric Bledsoe,"PG,SG",NOP,11,29.1,0.453(4.5/9.8),0.747(1.4/1.8),1.9,12.2,3.3,3.8,1,0.4,2.1,0.09
117,Goran Dragic,"PG,SG",MIA,9,24.4,0.489(5.1/10.4),0.829(2.7/3.2),1.6,14.4,2.3,5.6,0.6,0,3,0.08
118,Danny Green,"SG,SF",PHI,14,28.4,0.374(3.3/8.8),0.722(0.6/0.8),2.4,9.6,3.6,2.8,1.2,0.8,1.7,0.01
119,Marcus Smart,"PG,SG",BOS,11,32.7,0.345(3.6/10.6),0.733(3.0/4.1),1.9,12.2,2.6,5.6,1.5,0.5,1.5,-0.03
120,Gorgui Dieng,"PF,C",MEM,9,17.2,0.518(3.1/6.0),1.000(0.8/0.8),1.1,8.1,4.6,1.6,1,0.6,1.1,-0.04
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,Dillon Brooks,"SG,SF",MEM,12,29.9,0.383(6.3/16.3),0.790(1.6/2.0),2.1,16.2,4,3.1,1.5,0.4,2.6,-0.1
122,Devonte' Graham,"PG,SG",CHA,14,33.6,0.311(3.9/12.6),0.772(1.9/2.5),2.5,12.3,3.4,6.4,1.6,0,1.2,-0.11
123,Cameron Johnson,"SF,PF",PHX,11,23.2,0.470(4.4/9.3),0.858(1.1/1.3),2.6,12.4,3.2,1.5,0.5,0.5,0.5,-0.12
124,John Konchar,SG,MEM,5,19.7,0.435(2.0/4.6),1.000(1.2/1.2),0.6,5.8,4.6,2.8,1.4,0.4,0.2,-0.14
125,Justin Holiday,"SG,SF",IND,13,29.8,0.520(3.9/7.5),0.728(1.2/1.7),1.9,11,3.5,1.2,1.2,0.3,1.1,-0.14
126,Luguentz Dort,"SG,SF",OKL,12,28.7,0.460(4.3/9.4),0.785(1.8/2.3),2.3,12.8,3.8,0.8,1.1,0.3,1.1,-0.15
127,Tomas Satoransky ,"PG,SG",CHI,3,23.3,0.466(2.3/5.0),1.000(1.0/1.0),0.7,6.3,2.3,6,1.3,0.3,2.7,-0.18
128,P.J. Tucker,"PF,C",HOU,11,32.4,0.447(1.9/4.3),0.780(0.6/0.8),1.4,5.8,5,1.5,1.2,0.9,1.4,-0.24
129,Patrick Beverley,"PG,SG",LAC,13,26.5,0.422(2.9/6.9),0.763(1.0/1.3),2,8.8,4.3,2.2,0.8,0.8,0.8,-0.24
130,Blake Griffin,"PF,C",DET,9,32.1,0.393(4.7/11.9),0.678(2.1/3.1),2.3,13.8,6,4.7,0.9,0.1,1.7,-0.28
131,Tyus Jones,PG,MEM,12,26.3,0.413(3.6/8.7),0.724(0.4/0.6),0.6,8.2,2.7,5.6,1.7,0.3,1.2,-0.34
132,Maxi Kleber ,"PF,C",DAL,9,24.5,0.439(2.0/4.6),0.938(1.7/1.8),1.8,7.4,5.3,1.3,0.3,0.9,0.7,-0.34
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,Kevin Huerter,"SG,SF",ATL,12,27.6,0.432(4.5/10.4),0.815(0.8/0.9),2,11.8,3.6,3.3,1.1,0.1,1.2,-0.35
134,George Hill,"PG,SG",OKL,11,26.2,0.478(4.1/8.6),0.835(1.8/2.2),1.4,11.4,2.2,3.5,1,0.2,0.9,-0.38
135,Marc Gasol,C,LAL,14,19.8,0.466(1.4/3.1),0.877(1.0/1.1),0.6,4.4,5,2.1,0.5,1.6,1.3,-0.43
136,Xavier Tillman,PF,MEM,7,19.6,0.551(3.9/7.0),1.000(0.3/0.3),0.1,8.1,3.6,1.7,1.3,0.6,0.3,-0.45
137,Dennis Schroder,PG,LAL,14,30.9,0.419(5.3/12.6),0.782(2.3/2.9),1.2,14.1,4.1,4.8,1,0.2,2.4,-0.51
138,Aaron Gordon,"SF,PF",ORL,12,27.8,0.467(5.3/11.4),0.600(2.5/4.2),1.5,14.7,6.2,3.1,0.9,0.6,2.1,-0.61
139,Patty Mills,PG,SAS,13,25.5,0.455(5.0/11.0),0.897(1.3/1.5),2.9,14.2,1.7,3.2,0.2,0.1,0.8,-0.68
140,Will Barton,"SG,SF",DEN,13,29.1,0.409(4.3/10.5),0.665(1.2/1.9),1.5,11.3,4.3,2.9,1.1,0.7,0.9,-0.68
141,Patrick Williams,SF,CHI,13,26.9,0.485(3.8/7.8),0.870(1.5/1.8),1.1,10.2,3.8,1.1,0.8,0.8,1.7,-0.7
142,Jusuf Nurkic ,C,POR,12,23.5,0.486(4.2/8.6),0.556(1.3/2.3),0.3,9.8,7.7,2.8,0.9,0.9,1.9,-0.71
143,Payton Pritchard,PG,BOS,12,22.6,0.499(3.3/6.7),0.904(0.8/0.8),1.3,8.8,2.8,2.8,1.1,0.3,1.8,-0.71
