R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,LaMarcus Aldridge,"PF,C",SAS,10,28.5,0.423(5.8/13.7),0.818(0.9/1.1),1.1,13.6,5,2.5,0.5,0.7,1.3,-1.18
158,Cam Reddish ,"SF,PF",ATL,11,28.5,0.378(4.1/10.8),0.832(2.3/2.7),1.7,12.2,4.6,1.1,1.4,0.2,1.6,-1.19
159,Khem Birch,"PF,C",ORL,13,21.3,0.534(3.0/5.6),0.885(1.8/2.0),0.1,7.8,6,1.1,0.8,0.4,0.5,-1.22
160,Jae Crowder,"SF,PF",PHX,11,29.1,0.404(3.3/8.1),0.858(1.1/1.3),2.3,9.9,4.9,2.3,0.6,0.1,0.6,-1.23
161,Markelle Fultz ,"PG,SG",ORL,8,27,0.395(5.1/13.0),0.895(2.1/2.4),0.5,12.9,3.1,5.4,0.9,0.3,2.3,-1.26
162,JaMychal Green,"PF,C",DEN,9,21.3,0.486(3.9/8.0),0.712(1.1/1.6),2.2,11.1,6.7,1,0.4,0.1,1.8,-1.28
163,Ricky Rubio ,PG,MIN,11,24.5,0.380(2.2/5.7),0.935(1.5/1.6),0.5,6.3,2.8,5.4,1.4,0,1.5,-1.32
164,James Wiseman,C,GSW,12,21.3,0.487(4.7/9.6),0.587(1.4/2.4),0.5,11.3,6.2,0.4,0.4,1.6,1.5,-1.33
165,Carmelo Anthony,"SF,PF",POR,12,24.8,0.398(3.8/9.4),0.846(2.8/3.3),1.8,12,3.1,1.2,0.8,0.5,0.8,-1.35
166,Robert Covington,"PF,C",POR,13,30.3,0.297(2.2/7.2),0.871(0.5/0.6),1.6,6.5,5.9,1.8,1.4,0.5,1.2,-1.4
167,Ivica Zubac,C,LAC,14,18.2,0.690(2.7/3.9),0.788(1.9/2.4),0,7.3,4.6,1,0.5,0.9,1,-1.41
168,Paul Millsap,"PF,C",DEN,13,23.8,0.510(3.7/7.2),0.726(1.6/2.2),1.4,10.4,4.5,1.5,0.7,0.3,1.2,-1.45
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,Lonnie Walker IV,"SG,SF",SAS,13,29.1,0.425(5.0/11.8),0.777(1.9/2.4),1.9,13.8,3.1,1.7,0.5,0.6,0.9,-1.47
170,Sterling Brown ,"SG,SF",HOU,10,20.5,0.516(3.2/6.2),1.000(0.4/0.4),1.7,8.5,3.2,1,1,0,0.4,-1.51
171,Cedi Osman,"SF,PF",CLE,13,30.4,0.371(4.8/12.9),0.695(1.2/1.8),2.3,13.1,3.8,3.7,1,0.2,1.7,-1.53
172,Kelly Oubre Jr.,"SF,PF",GSW,12,27.2,0.350(4.2/11.9),0.803(1.7/2.1),1.1,11.1,5.5,1,1.3,0.9,1.8,-1.56
173,T.J. McConnell,"PG,SG",IND,10,18.3,0.531(1.7/3.2),0.500(0.1/0.2),0,3.5,3.1,4.9,1.7,0,1.5,-1.57
174,Brandon Clarke,"SF,PF",MEM,12,28.9,0.460(5.7/12.3),0.498(1.1/2.2),0.5,12.9,6.3,1.8,1,0.7,0.8,-1.65
175,Rui Hachimura ,"SF,PF",WAS,7,27.7,0.500(5.0/10.0),0.750(3.0/4.0),0.6,13.6,4.6,2.3,0.6,0.1,0.7,-1.68
176,Hamidou Diallo,"SG,SF",OKL,12,20.5,0.541(4.4/8.2),0.668(2.2/3.3),0.3,11.3,4.9,1.8,1,0.3,1.3,-1.7
177,Nerlens Noel,"PF,C",NYK,12,15.5,0.568(1.4/2.5),0.569(0.3/0.6),0,3.2,4.3,0.3,0.9,1.7,1.3,-1.7
178,Cameron Payne ,"PG,SG",PHX,9,17.9,0.500(3.1/6.2),1.000(0.4/0.4),1,7.7,2.4,4.3,0.7,0.1,1.3,-1.71
179,Norman Powell,"SG,SF",TOR,12,23.2,0.385(3.5/9.1),0.884(2.6/2.9),2.1,11.7,2.1,0.8,1,0.3,1.3,-1.71
180,Jalen Brunson,"PG,SG",DAL,8,19.2,0.492(4.0/8.1),0.900(2.3/2.5),0.9,11.1,2.5,3.5,0.5,0,1.8,-1.71
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181,Deni Avdija,"SG,SF",WAS,11,23.3,0.452(2.6/5.6),0.616(0.5/0.7),1.5,7,4,2.2,1,0.3,0.6,-1.72
182,Avery Bradley ,"SG,SF",MIA,7,22.8,0.490(3.6/7.3),0.775(1.0/1.3),1.9,10,1.9,1.7,0.9,0.1,0.7,-1.77
183,Derrick Favors,"PF,C",UTA,13,16.3,0.582(2.5/4.2),0.670(0.8/1.2),0,5.7,5.6,1.1,0.4,1.2,0.5,-1.78
184,Denzel Valentine,"SG,SF",CHI,9,18.4,0.437(2.7/6.1),1.000(0.2/0.2),1.4,7,4.2,1.8,1.1,0.1,0.7,-1.8
185,Davis Bertans,"PF,C",WAS,11,24.1,0.372(3.5/9.3),0.820(2.1/2.6),2.8,11.8,3.1,1.4,0.5,0.3,0.5,-1.82
186,Immanuel Quickley,PG,NYK,10,18.2,0.402(3.3/8.2),0.955(2.1/2.2),1.2,9.9,1.7,2.7,0.7,0.4,0.9,-1.82
187,Pat Connaughton,"SG,SF",MIL,10,17,0.447(2.1/4.7),1.000(0.2/0.2),1.6,6,3.8,1.4,0.8,0.4,0.1,-1.85
188,Joe Ingles ,"SG,SF",UTA,9,26.1,0.472(3.7/7.8),0.780(0.8/1.0),1.8,9.9,4.1,3.2,0.3,0.1,1.7,-1.87
189,Spencer Dinwiddie ,"PG,SG",BRO,3,21.8,0.375(2.0/5.3),1.000(2.0/2.0),0.7,6.7,4.3,3,0.7,0.3,1.7,-1.9
190,Kyle Kuzma,"SF,PF",LAL,14,25,0.432(4.1/9.4),0.663(0.6/0.9),1.9,10.6,5.2,1.2,0.3,0.7,1.6,-1.93
191,Nickeil Alexander-Walker,"SG,SF",NOP,10,19.1,0.473(4.4/9.3),0.769(1.0/1.3),1.5,11.3,2.8,1.8,0.9,0.1,1.5,-1.93
192,Draymond Green,"PF,C",GSW,8,26.9,0.283(1.1/4.0),0.648(1.4/2.1),0.4,4,5,6.6,1.3,0.3,2.4,-1.95
193,Dario Saric ,"PF,C",PHX,7,18.8,0.448(3.7/8.3),0.919(1.7/1.9),1.4,10.6,4.6,1,0.6,0.1,1.6,-1.99
194,Alex Caruso,"PG,SG",LAL,9,17.7,0.500(2.0/4.0),0.500(0.1/0.2),1.6,5.7,2.7,2.2,1.1,0.2,1.2,-1.99
195,Danilo Gallinari ,"SF,PF",ATL,2,13.8,0.750(3.0/4.0),1.000(2.0/2.0),1,9,2.5,1.5,0,0,1.5,-1.99
196,Josh Hart,"SG,SF",NOP,12,29,0.416(2.7/6.4),0.651(1.3/1.9),1.3,7.8,7.9,1.8,0.8,0.1,0.8,-2.03
197,DeMarcus Cousins ,"PF,C",HOU,8,14,0.339(2.3/6.6),0.724(1.6/2.3),1,7.1,5.9,1.6,0.8,1,1.3,-2.06
198,DeAndre Jordan,C,BRO,13,18.5,0.744(1.8/2.4),0.558(0.8/1.4),0,4.3,6.8,1.8,0.2,1.2,1.7,-2.09
199,Doug McDermott,"SF,PF",IND,13,24.3,0.513(4.6/9.0),0.789(1.5/1.9),1.9,12.6,3.4,1.2,0.2,0,1,-2.12
200,Luke Kennard,"SG,SF",LAC,14,23.2,0.511(3.4/6.7),0.901(0.6/0.7),1.8,9.3,2.9,1.9,0.2,0.3,1.3,-2.13
